f,P_mag,P_phase,G_mag,G_phase
1.41008586648709,-68.6067953829115,-57.0713775871047,-7.5727169799471,-60.4243807031389
1.41319065630881,-69.668713195468,-61.0802513386009,-8.63834318765026,-65.2756975459998
1.41630228239494,-70.7284895271796,-64.5231724431347,-9.70226037373808,-69.5204538396085
1.41942075979789,-71.7834151896389,-67.530991094337,-10.7617128563017,-73.2927105433586
1.42254610360318,-72.8348152474952,-70.2124821895771,-11.8179853796821,-76.7041280691187
1.42567832892956,-73.8865313257588,-72.6585967717515,-12.8748844957338,-79.8482572689146
1.42881745092908,-74.9440715592462,-74.9474578448543,-13.93788774133,-82.8055692528802
1.43196348478714,-76.014192444667,-77.1493333396215,-15.0137248446114,-85.6484576848922
1.43511644572257,-77.1047590408663,-79.3315697654093,-16.1102373829741,-88.4461978128835
1.43827634898772,-78.2247896302443,-81.5638638829849,-17.2364229876354,-91.2702401671154
1.44144320986852,-79.3846240352241,-83.9245619312852,-18.4026032739131,-94.2005289581562
1.44461704368456,-80.5961580356008,-86.5090930997355,-19.6206579310662,-97.3339522830951
1.44779786578916,-81.8730411436713,-89.4423521433039,-20.9042222188112,-100.796739386844
1.45098569156945,-83.2305809172362,-92.8980908659576,-22.2685910425878,-104.763864998389
1.45418053644642,-84.6846628293304,-97.130416624064,-23.729638619837,-109.490559141852
1.45738241587505,-86.2478167146528,-102.524939351913,-25.2998847518267,-115.363464134787
1.46059134534431,-87.9174935120989,-109.675217819837,-26.9767714159219,-122.9770896626
1.46380734037729,-89.6448044166698,-119.458422559021,-28.7114017878534,-133.209483515097
1.46703041653129,-91.2658176548848,-132.929338519649,-30.339836905061,-147.11624118156
1.47026058939781,-92.423282457194,-150.480644869274,-31.504819542142,-165.090791823344
1.47349787460272,-92.6989331375639,-170.154358203519,-31.7880782060717,174.824153005388
1.47674228780628,-92.0620522827136,171.939616730416,-31.1588902508662,156.518043711201
1.47999384470324,-90.9118691203192,158.087674583768,-30.0164801810207,142.276675813256
1.48325256102289,-89.6282829077199,148.082152675775,-28.740742984903,131.891829263346
1.48651845252918,-88.3959260401253,140.883117235136,-27.516307193895,124.323051131898
1.48979153502075,-87.2740744952752,135.584490510592,-26.4024452834567,118.663779519626
1.49307182433103,-86.2700370157199,131.568696169671,-25.4064628170922,114.295986072842
1.49635933632831,-85.3738509280426,128.43770886258,-24.5183942318535,110.821222942755
1.49965408691583,-84.5714952535212,125.934421646055,-23.7242159192286,107.981987852539
1.50295609203183,-83.8493940636707,123.88914307264,-23.0103495543263,105.608219050788
