time,w_g
5.975,5.79773890743918e-06
5.9875,6.64483633226392e-06
6,7.4699660218898e-06
6.0125,8.2641501905115e-06
6.025,9.01888028867248e-06
6.0375,9.72609612283792e-06
6.05,1.03783060499651e-05
6.0625,1.09687864793078e-05
6.075,1.14914414433669e-05
6.0875,1.19409750351543e-05
6.1,1.23127836574929e-05
6.1125,1.26037375485913e-05
6.125,1.28111608714612e-05
6.1375,1.29333516990773e-05
6.15,1.29697402811261e-05
6.1625,1.29205496690713e-05
6.175,1.27871685712506e-05
6.1875,1.25717048239005e-05
6.2,1.22771976352379e-05
6.2125,1.19076938297603e-05
6.225,1.14677104818642e-05
6.2375,1.09628383214559e-05
6.25,1.03990906661888e-05
6.2625,9.78328744876144e-06
6.275,9.12256869019269e-06
6.2875,8.42419225704044e-06
6.3,7.69656491052074e-06
6.3125,6.94780367436451e-06
6.325,6.18631566792817e-06
6.3375,5.42039982628612e-06
6.35,4.65836729062267e-06
6.3625,3.90850065260705e-06
6.375,3.17882368382229e-06
6.3875,2.47686245495509e-06
6.4,1.81002338829193e-06
6.4125,1.1850863138953e-06
6.425,6.08231370528209e-07
6.4375,8.50024623067611e-08
6.45,-3.79610556671534e-07
6.4625,-7.81491834160381e-07
6.475,-1.1172160963372e-06
6.4875,-1.38430480529083e-06
6.5,-1.58102479846008e-06
6.5125,-1.7065620297209e-06
6.525,-1.7609647990036e-06
6.5375,-1.74507057625624e-06
6.55,-1.66073841425615e-06
6.5625,-1.51032703218535e-06
6.575,-1.29735417791305e-06
6.5875,-1.02596841293153e-06
6.6,-7.00869206136114e-07
6.6125,-3.27520760339471e-07
6.625,8.81178214909902e-08
6.6375,5.3954459532296e-07
6.65,1.01997855955494e-06
6.6625,1.52223661787408e-06
6.675,2.03889511823894e-06
6.6875,2.56244452172224e-06
6.7,3.08536981700742e-06
6.7125,3.6001291640565e-06
6.725,4.09935201020413e-06
6.7375,4.57596973550823e-06
6.75,5.02318262314036e-06
6.7625,5.43452065112045e-06
6.775,5.80409778852289e-06
6.7875,6.12644237927824e-06
6.8,6.39693652351689e-06
6.8125,6.61136834877783e-06
6.825,6.76629480987767e-06
6.8375,6.859026420158e-06
6.85,6.88758248044191e-06
6.8625,6.85080434247765e-06
6.875,6.74823687510161e-06
6.8875,6.58031188410549e-06
6.9,6.34812782919756e-06
6.9125,6.05357846086233e-06
6.925,5.69924816918504e-06
6.9375,5.28841250092992e-06
6.95,4.824981741372e-06
6.9625,4.31345263878203e-06
6.975,3.75886850112404e-06
6.9875,3.16671407706474e-06
7,2.54287805010996e-06
7.0125,1.89359223585334e-06
7.025,1.22529618974176e-06
7.0375,5.44779118862722e-07
7.05,-1.41461324121802e-07
7.0625,-8.25191263416591e-07
7.075,-1.50231023037535e-06
7.0875,-2.16477923117023e-06
7.1,-2.80584912886307e-06
7.1125,-3.41991971550361e-06
7.125,-4.00092936859938e-06
7.1375,-4.54349292669117e-06
7.15,-5.04267782064965e-06
7.1625,-5.49407070602614e-06
7.175,-5.89381761964614e-06
7.1875,-6.23869131461096e-06
7.2,-6.526107707741e-06
7.2125,-6.75411661741097e-06
7.225,-6.92143704941899e-06
7.2375,-7.02757056910313e-06
7.25,-7.07266042023154e-06
7.2625,-7.0575749063224e-06
7.275,-6.98387874405846e-06
7.2875,-6.85372642897201e-06
7.3,-6.66998030406472e-06
7.3125,-6.43607876806552e-06
7.325,-6.1560110848136e-06
7.3375,-5.8342082143587e-06
7.35,-5.47557688975043e-06
7.3625,-5.08542772373473e-06
7.375,-4.66934133163689e-06
7.3875,-4.23318307137784e-06
7.4,-3.78294473864977e-06
7.4125,-3.32449231100632e-06
7.425,-2.86436557241727e-06
7.4375,-2.4084821911852e-06
7.45,-1.96256009018074e-06
7.4625,-1.53239096039601e-06
7.475,-1.12351997460853e-06
7.4875,-7.40835257680477e-07
7.5,-3.89573757039929e-07
7.5125,-7.30070561303535e-08
7.525,2.02877890953271e-07
7.5375,4.41553067596369e-07
7.55,6.25923127632655e-07
7.5625,7.67512308322076e-07
7.575,8.63194120514458e-07
7.5875,9.05867913325323e-07
7.6,9.00083496286571e-07
7.6125,8.44268205276777e-07
7.625,7.40161289104505e-07
7.6375,5.88943712144012e-07
7.65,3.92935432177691e-07
7.6625,1.54785970772096e-07
7.675,-1.22316779700068e-07
7.6875,-4.347408720932e-07
7.7,-7.78442647913085e-07
7.7125,-1.14895706781524e-06
7.725,-1.54149426174961e-06
7.7375,-1.95126830089411e-06
7.75,-2.37294001622893e-06
7.7625,-2.80128853805106e-06
7.775,-3.231011887248e-06
7.7875,-3.65674430881221e-06
7.8,-4.07319588707829e-06
7.8125,-4.47525317244562e-06
7.825,-4.85785871480595e-06
7.8375,-5.2162764162913e-06
7.85,-5.54605372736088e-06
7.8625,-5.84305964306565e-06
7.875,-6.10364664326263e-06
7.8875,-6.32440861971249e-06
7.9,-6.50272820530321e-06
7.9125,-6.63608005919074e-06
7.925,-6.72256645562047e-06
7.9375,-6.76119080718059e-06
7.95,-6.75112039638864e-06
7.9625,-6.69234897338022e-06
7.975,-6.5852159218373e-06
7.9875,-6.43070273962827e-06
8,-6.2303433431985e-06
8.0125,-5.98610591085806e-06
8.025,-5.70066685785505e-06
8.0375,-5.37700137254573e-06
8.05,-5.01849296693478e-06
8.0625,-4.62896278356693e-06
8.075,-4.21243211633701e-06
8.0875,-3.77345793166381e-06
8.1,-3.31666102717723e-06
8.1125,-2.84682289706603e-06
8.125,-2.36891530863614e-06
8.1375,-1.88771188747854e-06
8.15,-1.40828788342274e-06
8.1625,-9.35618445700401e-07
8.175,-4.74422291053728e-07
8.1875,-2.69340764126862e-08
8.2,3.96489670685456e-07
8.2125,7.96884673112436e-07
8.225,1.16957650351494e-06
8.2375,1.510678292041e-06
8.25,1.81755031462244e-06
8.2625,2.08758260463989e-06
8.275,2.31882821994358e-06
8.2875,2.50970619720896e-06
8.3,2.65924430295763e-06
8.3125,2.76686393801297e-06
8.325,2.83257616801873e-06
8.3375,2.85685900186853e-06
8.35,2.84066036476877e-06
8.3625,2.78544769374985e-06
8.375,2.69305982751884e-06
8.3875,2.56595183405158e-06
8.4,2.40525708331379e-06
8.4125,2.21829701370956e-06
8.425,2.0045270842279e-06
8.4375,1.76833278807242e-06
8.45,1.51417108781491e-06
8.4625,1.24572853911431e-06
8.475,9.67328232530956e-07
8.4875,6.83145987271504e-07
8.5,3.97528907998016e-07
8.5125,1.14699916895327e-07
8.525,-1.61148850380146e-07
8.5375,-4.26001737070662e-07
8.55,-6.75929354064951e-07
8.5625,-9.07363372941218e-07
8.575,-1.11688151153005e-06
8.5875,-1.30132422833793e-06
8.6,-1.45793123519511e-06
8.6125,-1.58430926885994e-06
8.625,-1.67845286269392e-06
8.6375,-1.7387768533159e-06
8.65,-1.76411654786542e-06
8.6625,-1.75370488128716e-06
8.675,-1.70733175903095e-06
8.6875,-1.6250182283879e-06
8.7,-1.50776956238536e-06
8.7125,-1.35579874904816e-06
8.725,-1.17349083405476e-06
8.7375,-9.57587648178267e-07
8.75,-7.12919580428493e-07
8.7625,-4.43863367754465e-07
8.775,-1.51276223931236e-07
8.7875,1.60831727504368e-07
8.8,4.89309311282505e-07
8.8125,8.30387572702504e-07
8.825,1.18036771270081e-06
8.8375,1.53534973575912e-06
8.85,1.89139512389411e-06
8.8625,2.24448796292839e-06
8.875,2.5908032155793e-06
8.8875,2.92651975023071e-06
8.9,3.24790723087623e-06
8.9125,3.5515040483934e-06
8.925,3.83405433544782e-06
8.9375,4.09251046896482e-06
8.95,4.32413059665577e-06
8.9625,4.5265388255032e-06
8.975,4.69768193303027e-06
8.9875,4.83586995186045e-06
9,4.93976345812336e-06
9.0125,5.00872448215072e-06
9.025,5.04211577464623e-06
9.0375,5.03988646451624e-06
9.05,5.00237869514826e-06
9.0625,4.93034915932168e-06
9.075,4.8249522956793e-06
9.0875,4.68769051494969e-06
9.1,4.52044118836002e-06
9.1125,4.32538541683384e-06
9.125,4.10500307543888e-06
9.1375,3.86205161437185e-06
